#allele	genesymbol	genbank_cds_start	genbank_cds_stop	genbank_strand	curated_start	genbank_nucl_accession	genbank_prot_accession	refseq_nucl_accession	refseq_prot_accession	refseq_product
aac(3)-Ig	aac(3)-I	2333620	2334096	1	0	CP000282.1	ABD81100.1	NG_048571.1	WP_011468318.1	aminoglycoside N-acetyltransferase AAC(3)-Ig
aac(3)-Ih	aac(3)-I	509912	510370	1	0	CP000490.1	ABL71428.1	NG_048572.1	WP_011749610.1	aminoglycoside N-acetyltransferase AAC(3)-Ih
aac(3)-Ii	aac(3)-I	638262	638720	0	0	CP000356.1	ABF52347.1	NG_048573.1	WP_011540937.1	aminoglycoside N-acetyltransferase AAC(3)-Ii
	aac(3)-II	256021	256830	1	0	EU855787.1	ACO54181.1	NG_047231.1	WP_012695485.1	AAC(3)-II family aminoglycoside N-acetyltransferase
aac(3)-IIb	aac(3)-II	656	1465	1	0	M97172.1	AAA26548.1	NG_047249.1	WP_033147097.1	aminoglycoside N-acetyltransferase AAC(3)-IIb
aac(3)-IIc	aac(3)-II	819	1679	1	0	X54723.1	CAA38525.1	NG_047250.1	WP_063840266.1	aminoglycoside N-acetyltransferase AAC(3)-IIc
aac(3)-IId	aac(3)-II	62770	63630	0	0	AF550415.2	AAN87703.1	NG_047251.1	WP_000557454.1	aminoglycoside N-acetyltransferase AAC(3)-IId
	aac(3)-IIIa	1124	1939	1	0	X55652.1	CAA39184.1	NG_047241.1	WP_063840261.1	aminoglycoside N-acetyltransferase AAC(3)-IIIa
	aac(3)-IIIb	353	1171	0	0	LLLC01000048.1	KSC15183.1	NG_051746.1	WP_058179966.1	aminoglycoside N-acetyltransferase AAC(3)-IIIb
	aac(3)-IIIc	106	945	1	0	L06161.1	AAA25683.1	NG_047243.1	WP_063840263.1	aminoglycoside N-acetyltransferase AAC(3)-IIIc
	aac(3)-IIa	105	965	1	0	L22613.1	AAA19915.1	NG_047246.1	WP_063840265.1	aminoglycoside N-acetyltransferase AAC(3)-IIa
	aac(3)-IIa	4039	4899	0	0	AY138987.1	AAN34370.1	NG_047247.1	WP_002063884.1	aminoglycoside N-acetyltransferase AAC(3)-IIa
	aac(3)-IIa	41090	41950	0	0	FJ012882.1	ACI02996.1	NG_047248.1	WP_015060297.1	aminoglycoside N-acetyltransferase AAC(3)-IIa
	aac(3)-IIa	186	1046	1	0	X13543.1	CAA31895.1	NG_047245.1	WP_063840264.1	aminoglycoside N-acetyltransferase AAC(3)-IIa
	aac(3)-IIa	91	951	1	0	X51534.1	CAA35913.1	NG_047244.1	WP_000557452.1	aminoglycoside N-acetyltransferase AAC(3)-IIa
	aac(3)-IIe	1	861	1	0	EU022315.1	ABS70978.1	NG_047252.1	WP_063840267.1	aminoglycoside N-acetyltransferase AAC(3)-IIe
	aac(3)-IV	1	777	1	0	DQ241380.1	ABB43029.1	NG_047253.1	WP_001199192.1	aminoglycoside N-acetyltransferase AAC(3)-IV
	aac(3)-IVa	244	1029	1	0	X01385.1	CAA25642.1	NG_047254.1	WP_063840268.1	aminoglycoside N-acetyltransferase AAC(3)-IVa
	aac(3)-IXa	274	1119	1	0	M55427.1	AAA25334.1	NG_047255.1	WP_063840269.1	aminoglycoside N-acetyltransferase AAC(3)-IXa
	aac(3)-VIII	30749	31612	0	0	AB211959.1	BAD95833.1	NG_047258.1	WP_031136588.1	aminoglycoside N-acetyltransferase AAC(3)-VIII
	aac(3)-VIII	2629	3492	1	0	AJ748131.1	CAG34706.1	NG_047260.1	WP_063840271.1	aminoglycoside N-acetyltransferase AAC(3)-VIII
	aac(3)-VIII	26934	27797	0	0	AJ843080.1	CAH58703.1	NG_047259.1	WP_063840270.1	aminoglycoside N-acetyltransferase AAC(3)-VIII
aac(3)-VIIIa	aac(3)-VIII	466	1326	1	0	M55426.1	AAA26685.1	NG_048574.1	WP_063856943.1	aminoglycoside N-acetyltransferase AAC(3)-VIIIa
	aac(3)-VIIa	493	1359	1	0	M22999.1	AAA88552.1	NG_047261.1	WP_063840272.1	aminoglycoside N-acetyltransferase AAC(3)-VIIa
	aac(3)-VIa	97578	98477	1		DQ517526.1		NG_052583.3	WP_000131886.1	aminoglycoside N-acetyltransferase AAC(3)-VIa
	aac(3)-VIa	193	1092	1	0	M88012.1	AAA16194.1	NG_047262.1	WP_063840273.1	aminoglycoside N-acetyltransferase AAC(3)-VIa
	aac(3)-XI	12458	12904	1	0	CTEG01000046.1	CQD12588.1	NG_050595.1	WP_046095284.1	aminoglycoside N-acetyltransferase AAC(3)-XI
	aac(3)-Xa	2711	3565	0	0	AB028210.1	BAA78619.1	NG_047263.1	WP_012377682.1	aminoglycoside N-acetyltransferase AAC(3)-Xa
	aac(6')	5697	6251	1		JTVI01000034.1		NG_052423.1	WP_071846334.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	8195	8797	1		AUIH01000073.1		NG_052294.1	WP_051208285.1	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase
	aac(6')	10983	11423	0		JWBL01000029.1		NG_052190.1	WP_049270433.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	11686	12168	0		AJTQ01000183.1		NG_052157.1	WP_029391459.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	23326	23868	0		AFWZ01000007.1		NG_052504.1	WP_019722502.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	26532	27005	0		JNZA01000018.1		NG_052341.1	WP_033268654.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	29492	29977	1		AUFD01000024.1		NG_052293.1	WP_037790839.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	54422	54895	1		LATD01000220.1		NG_052464.1	WP_046502149.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	54472	54945	1		JOGT01000014.1		NG_052342.1	WP_031084431.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	72671	73111	1		JVYI01000082.1		NG_052191.1	WP_049212943.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	82508	83056	0		KE351596.1		NG_052291.1	WP_034860925.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	88072	88554	0		JOGU01000006.1		NG_054655.1	WP_030695745.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	88679	89119	1		ALOV01000006.1		NG_052284.1	WP_019453091.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	99017	99457	1		JUOM01000037.1		NG_052195.1	WP_049198488.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	119655	120095	0		KE375664.1		NG_052292.1	WP_038879528.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	135638	136186	1		LGAO01000043.1		NG_052207.1	WP_053766315.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	166896	167336	1		JVNH01000105.1		NG_052193.1	WP_049189080.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	174330	174881	1		CVRN01000006.1		NG_052188.1	WP_048603867.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	221169	221609	0		JVCS01000042.1		NG_052196.1	WP_049241494.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	234917	235357	0		JVIF01000032.1		NG_052194.1	WP_049208356.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	237191	237631	0		JVXJ01000057.1		NG_052192.1	WP_049204401.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	431332	431814	0		KB898222.1		NG_052532.1	WP_018893623.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	446038	446520	0		KN549149.1		NG_052425.1	WP_047467383.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	470516	471070	1		KB907453.1		NG_052534.1	WP_019655053.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	692653	693135	0		KB905816.1		NG_052533.1	WP_026328431.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	1433330	1433878	1	0	CP003504.1	AFM70383.1	NG_052281.1	WP_010737153.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	4618984	4619424	1	0	CP003959.1	AGE20052.1	NG_052263.1	WP_015379140.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	123	638	1	0	KF525275.1	AGY30798.1	NG_052300.1	WP_071846259.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	112	666	1	0	KF525276.1	AGY30800.1	NG_052301.1	WP_071846260.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	999	1553	1	0	KJ138219.1	AHN60086.1	NG_052175.1	WP_071846204.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	1522208	1522648	0	0	CP005927.1	AIA46829.1	NG_052336.1	WP_044030410.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	4405272	4405712	1	0	CP003424.1	AIM23676.1	NG_052415.1	WP_042785406.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	9881022	9881495	0	0	CP003987.1	AJC61747.1	NG_052428.1	WP_039639671.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	5982660	5983148	1	0	CP007699.2	AJT67207.1	NG_054688.1	WP_046928126.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	9059183	9059656	0	0	CP007699.2	AJT69959.1	NG_054689.1	WP_046930149.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	3247308	3247748	0	0	CP011642.1	AKL42171.1	NG_052471.1	WP_047729810.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	3875228	3875668	1	0	CP012685.1	ALE97986.1	NG_052209.1	WP_060706838.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	4807464	4807904	1	0	CP013046.2	ALL39971.1	NG_054690.1	WP_060560340.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	3691825	3692265	0	0	CP026050.1	AUU10860.1	NG_052420.1	WP_047570454.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	1169	1723	1	0	AB733642.1	BAM45412.1	NG_052254.1	WP_071846239.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	652483	653025	1	0	AP013036.1	BAO06172.1	NG_052446.1	WP_023519215.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	3877863	3878303	1	0	AP013063.1	BAO35700.1	NG_052449.1	WP_041036791.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	3763302	3763742	1	0	HG326223.1	CDG14101.1	NG_052448.1	WP_025304332.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	698494	698940	0	0	CPYJ01000001.1	CNE19069.1	NG_052198.1	WP_049646085.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	332281	332727	1	0	CQBM01000001.1	CNH39072.1	NG_052199.1	WP_049677835.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	141891	142322	0	0	CQDZ01000001.1	CNK13080.1	NG_052200.1	WP_050141558.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	108841	109281	1	0	CTIO01000003.1	CQH02469.1	NG_052201.1	WP_050537864.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	1064	1612	1	0	AAAK03000130.1	EAN08580.1	NG_052371.1	WP_002289795.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	31	579	0	0	ACHL01000139.1	EEI59381.1	NG_052140.1	WP_002293989.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	4573	5013	0	0	AALD02000008.1	EEQ11435.1	NG_052265.1	WP_004874306.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	4871890	4872372	1	0	DS999645.1	EFE83821.1	NG_052138.1	WP_003950682.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	7329	7877	1	0	ABQA01000128.1	EFF36162.1	NG_052275.1	WP_002293569.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	3985456	3985953	1	0	GG657742.1	EFL01423.1	NG_052139.1	WP_009067544.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	79	627	0	0	AMBL01000051.1	EJY45308.1	NG_052285.1	WP_002373947.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	216353	216901	1	0	AHWN01000015.1	ELA64846.1	NG_052260.1	WP_002328174.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	11305	11853	1	0	AHXK01000039.1	ELB23361.1	NG_052261.1	WP_002339746.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	222016	222456	0	0	AORJ01000065.1	EMF04571.1	NG_052389.1	WP_004937175.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	205192	205740	1	0	AIUW01000009.1	EOG05128.1	NG_052159.1	WP_010727362.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	11553	12101	1	0	AIVB01000005.1	EOG13098.1	NG_052160.1	WP_010728104.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	145020	145568	1	0	AITZ01000012.1	EOH47286.1	NG_052161.1	WP_010723742.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	270875	271417	0	0	AJAH01000025.1	EOH60829.1	NG_052162.1	WP_010736157.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	73451	74014	1	0	AJAP01000004.1	EOH90388.1	NG_052163.1	WP_010752789.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	31119	31661	1	0	AJAN01000013.1	EOH92539.1	NG_052164.1	WP_010750427.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	73253	73816	1	0	AJAT01000014.1	EOL44032.1	NG_052165.1	WP_010768325.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	34229	34780	1	0	AHYU01000052.1	EOT29546.1	NG_052168.1	WP_016177698.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	113203	113760	0	0	AHYR01000006.1	EOT40837.1	NG_052169.1	WP_016172918.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	7477	8025	1	0	ATIS01000069.1	EPI08854.1	NG_052290.1	WP_016628216.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	98684	99124	1	0	AVSR01000023.1	ERH70569.1	NG_052297.1	WP_021505085.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	464699	465181	0	0	ASHF01000011.1	ESP99889.1	NG_052413.1	WP_023417224.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	7421	7906	1	0	AWQV01000373.1	EST37714.1	NG_052445.1	WP_023529211.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	132125	132565	0	0	JAPC01000008.1	ETX42903.1	NG_052450.1	WP_033644545.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	274590	275030	1	0	JAPD01000005.1	ETX44633.1	NG_052451.1	WP_033636082.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	55658	56200	0	0	JDFT01000009.1	EYT95687.1	NG_052177.1	WP_034688908.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	219059	219499	0	0	JJMZ01000006.1	EZQ63051.1	NG_052178.1	WP_033651281.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	81443	81991	0	0	JMIG01000016.1	KDR91621.1	NG_052337.1	WP_034700626.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	71128	71676	0	0	AWWN01000104.1	KEI48560.1	NG_052447.1	WP_024635824.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	2497	2937	1	0	JPOB01000020.1	KFB54973.1	NG_052345.1	WP_033654785.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	222939	223379	0	0	JMPQ01000033.1	KFD15114.1	NG_052346.1	WP_033639326.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	1601527	1601967	0	0	JPUX01000001.1	KFF87932.1	NG_052347.1	WP_033632034.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	59993	60433	1	0	JWLO01000007.1	KHO40870.1	NG_052427.1	WP_039569351.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	2083496	2083969	1	0	JXZB01000002.1	KIQ65506.1	NG_052429.1	WP_043911783.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	4265	4747	1	0	JXOM01000108.1	KIX79344.1	NG_052459.1	WP_071846352.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	1529	2077	1	0	LBIL01000048.1	KKJ73856.1	NG_052465.1	WP_071846353.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	3461659	3462099	1	0	JSFB01000001.1	KKO56015.1	NG_052466.1	WP_046687856.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	129940	130380	0	0	LCWI01000005.1	KKZ18771.1	NG_052467.1	WP_046897272.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	2792	3232	1	0	LDEG01000018.1	KLE36360.1	NG_052468.1	WP_047026538.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	141186	141668	1	0	LAYX01000007.1	KLJ03806.1	NG_052469.1	WP_047139664.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	133123	133563	0	0	LETV01000019.1	KLX11493.1	NG_052472.1	WP_048234935.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	539297	539737	1	0	LFBS01000007.1	KMJ12223.1	NG_052187.1	WP_048325528.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	90681	91148	1	0	LFKU01000005.1	KMU66930.1	NG_052189.1	WP_049443010.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	26566	27033	0	0	LDVR01000042.1	KOQ68998.1	NG_052204.1	WP_053518652.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	54578	55051	1	0	LGCX01000149.1	KOU01101.1	NG_052205.1	WP_030403494.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	54511	54984	1	0	LGEF01000079.1	KOX34026.1	NG_052206.1	WP_053638058.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	67168	67722	1	0	LPCS01000005.1	KVS21672.1	NG_052221.1	WP_049031504.1	aminoglycoside 6'-N-acetyltransferase
	aac(6')	486877	487317	1	0	JTBC02000011.1	PNO64647.1	NG_052419.1	WP_071846333.1	aminoglycoside 6'-N-acetyltransferase
aac(6')-32	aac(6')	2247	2801	1	0	EF614235.1	ABR10839.1	NG_047266.1	WP_032491968.1	aminoglycoside N-acetyltransferase AAC(6')-32
aac(6')-33	aac(6')	1203	1757	1	0	GQ337064.1	ACT99625.1	NG_047267.1	WP_015059044.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-33
aac(6')-I30	aac(6')	1524	2078	1	0	AY289608.1	AAP43642.1	NG_047268.1	WP_063840274.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-I30
aac(6')-Iae	aac(6')	1935	2486	1	0	AB104852.1	BAD14386.1	NG_047277.1	WP_003159545.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iae
aac(6')-Iaf	aac(6')	1200	1751	1	0	AB462903.1	BAH66386.1	NG_047278.1	WP_063840278.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaf
aac(6')-Iai	aac(6')	544	1110	1	0	EU886977.1	ACI28880.1	NG_047279.1	WP_063840279.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iai
aac(6')-Iaj	aac(6')	1195	1749	1	0	AB709942.1	BAM46120.1	NG_051491.1	WP_069174568.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaj
aac(6')-Ial	aac(6')	10	450	1	0	AB871481.1	BAO05514.1	NG_047281.1	WP_016930164.1	aminoglycoside N-acetyltransferase AAC(6')-Ial
aac(6')-Ic	aac(6')	1554	1994	1	0	M94066.1	AAA26549.1	NG_047294.1	WP_033649026.1	aminoglycoside N-acetyltransferase AAC(6')-Ic
aac(6')-Ii	aac(6')	169	717	1	0	L12710.1	AAB63533.1	NG_047298.1	WP_008265821.1	aminoglycoside N-acetyltransferase AAC(6')-Ii
aac(6')-Iid	aac(6')	34	582	1	0	AJ584700.2	CAE50925.1	NG_047299.1	WP_010720790.1	aminoglycoside N-acetyltransferase AAC(6')-Iid
aac(6')-Iih	aac(6')	11	562	1	0	AJ584701.2	CAE50926.1	NG_047300.1	WP_005880220.1	aminoglycoside N-acetyltransferase AAC(6')-Iih
aac(6')-Isa	aac(6')	430	903	1	0	AB116646.1	BAD10948.2	NG_047311.1	WP_016575755.1	aminoglycoside N-acetyltransferase AAC(6')-Isa
aacA16	aac(6')	1247288	1247839	1	0	CP001921.1	ADX02779.1	NG_052380.1	WP_001109644.1	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16
aacA47	aac(6')	208532	209086	1		CP003601.1		NG_052259.1	WP_041550454.1	aminoglycoside 6'-N-acetyltransferase AacA47
aacA56	aac(6')	603	1154	1	0	KM201605.1	AIT97187.1	NG_051492.1	WP_045890872.1	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA56
	aac(6')-29	4233	4640	0	0	LRJS01000061.1	KVJ93461.1	NG_052220.1	WP_039110076.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-29
aac(6')-29a	aac(6')-29	1397	1798	1		AF263519.1		NG_048575.1	WP_064190968.1	aminoglycoside N-acetyltransferase AAC(6')-29a
aac(6')-29b	aac(6')-29	2919	3320	1		AF263519.1		NG_048576.1	WP_064190969.1	aminoglycoside N-acetyltransferase AAC(6')-29b
	aac(6')-30	16228	16668	0	0	JMUP01000027.1	KDF29949.1	NG_051559.1	WP_051645529.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-30
	aac(6')-31	1651	2205	1		BCBD01000273.1		NG_052210.1	WP_054914207.1	aminoglycoside N-acetyltransferase AAC(6')-31
